Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1628.095373
FDW14,OUT017,1316.006399
NCN55,OUT010,608.2043721
FDQ58,OUT017,2484.712928
FDY38,OUT027,5160.604427
FDH56,OUT046,1814.978617
FDL48,OUT018,1010.049729
FDC48,OUT027,1927.952596
FDN33,OUT045,1456.129857
FDA36,OUT017,3025.333041
FDT44,OUT017,1823.627989
FDQ56,OUT045,1289.09601
NCC54,OUT019,598.289936
FDU11,OUT049,1910.60271
DRL59,OUT013,793.8399617
FDM24,OUT049,2425.032414
FDI57,OUT045,3229.918173
DRC12,OUT018,3923.375593
NCM42,OUT027,2635.11876
FDA46,OUT010,502.2317596
FDA31,OUT013,2828.375374
NCJ31,OUT035,3856.551003
FDG52,OUT046,751.1647183
NCL19,OUT019,367.4189672
FDS10,OUT035,2929.096774
FDX22,OUT010,551.8213068
NCF19,OUT035,751.211956
NCE06,OUT046,2594.448416
DRC27,OUT046,3917.299983
FDE21,OUT035,1799.492163
NCR42,OUT019,124.4046861
FDX51,OUT018,3972.305869
NCR06,OUT018,922.1738311
FDU31,OUT027,4902.994656
FDU59,OUT017,2643.808678
FDR03,OUT027,4686.11606
FDS49,OUT027,1913.006899
FDD48,OUT010,298.7047585
NCF18,OUT017,3121.064373
NCD43,OUT027,2466.623009
NCD54,OUT018,2918.28302
FDY19,OUT010,294.1284915
NCY54,OUT017,2811.417317
NCL19,OUT018,2965.574986
FDP23,OUT010,570.1825982
FDC26,OUT013,1727.860075
FDR14,OUT010,163.0258926
NCS41,OUT035,2971.42157
FDF41,OUT035,3962.68801
FDU34,OUT046,1937.253915
DRH11,OUT046,883.6248126
FDM03,OUT013,1628.184094
FDS31,OUT017,2934.037565
FDJ20,OUT017,1885.41995
FDV44,OUT027,4392.23354
FDG02,OUT049,3059.429867
FDA09,OUT013,2911.045877
FDT04,OUT013,639.6347434
FDL58,OUT019,664.5910092
FDE52,OUT045,1356.713777
FDW12,OUT035,2305.661419
FDL51,OUT017,3487.565297
NCY42,OUT027,3393.285368
FDR07,OUT017,1436.565165
FDN40,OUT045,2443.531385
FDB35,OUT027,2129.47081
FDA22,OUT017,2671.778611
NCL06,OUT046,4159.431187
FDI35,OUT013,2938.243174
NCW42,OUT045,3588.059341
NCX06,OUT049,2918.677603
FDC37,OUT027,2546.714272
FDZ14,OUT018,2495.394674
DRG49,OUT049,3914.820865
NCG06,OUT045,4078.615818
DRC36,OUT045,2809.432448
FDV21,OUT019,326.0120968
FDB53,OUT046,2370.427765
DRP47,OUT019,626.670717
FDA14,OUT013,2305.883734
DRC24,OUT035,2438.736575
FDW21,OUT018,2032.655354
NCH29,OUT046,1484.299779
FDU58,OUT013,3055.706624
FDY27,OUT017,2871.912697
FDV56,OUT035,1659.585652
FDT59,OUT046,3715.926731
FDB23,OUT046,3646.723143
FDR49,OUT045,745.6841536
FDB03,OUT010,601.9678638
FDN39,OUT045,2669.689066
FDX02,OUT027,4989.326963
FDQ16,OUT027,2510.629965
FDU35,OUT018,2004.075853
NCT29,OUT013,1898.600817
FDZ27,OUT046,769.4776425
FDN57,OUT017,2217.157865
FDA03,OUT018,2974.372973
FDZ36,OUT045,3006.160186
NCU05,OUT013,1211.327531
FDT39,OUT018,3114.251831
FDK60,OUT017,1457.516111
FDZ25,OUT017,2732.895284
FDG12,OUT046,1905.631042
DRB01,OUT019,506.8732555
NCC43,OUT027,5389.027361
FDX13,OUT019,637.0695504
FDM22,OUT049,813.8498552
FDJ03,OUT027,1228.8539
FDU14,OUT018,4873.394804
FDB33,OUT010,407.5914645
FDP27,OUT046,3089.844663
FDO38,OUT010,200.9739446
FDE28,OUT027,5126.697898
FDO27,OUT035,1450.307704
DRL23,OUT027,2501.808617
FDS28,OUT046,864.5434209
FDX24,OUT013,1399.950578
FDZ02,OUT035,1465.421241
FDL46,OUT045,1789.690647
FDS60,OUT027,4173.783624
NCO06,OUT017,582.003534
FDO16,OUT035,1279.289996
FDC60,OUT049,1322.265301
FDA48,OUT018,4411.208251
